Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "BRAIN_Breakout_SW.brd" as of: 6/4/2015 4:53:59 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,4.547,1.969,270
D1,Top,4.685,2.510,180
D2,Top,4.252,1.152,180
IC1,Top,4.314,1.689,90
LED1,Top,4.220,2.138,90
LED2,Top,1.520,2.740,90
LED3,Top,1.520,2.654,90
LED4,Top,1.520,2.567,90
LED5,Top,1.520,2.480,90
LED6,Top,1.520,2.394,90
LED7,Top,1.520,2.307,90
LED8,Top,1.520,2.220,90
LED9,Top,3.154,0.610,270
LED10,Top,4.252,3.091,0
LED11,Top,4.094,3.091,0
LED12,Top,3.937,3.091,0
LED13,Top,3.780,3.091,0
LED14,Top,3.622,3.091,0
LED15,Top,1.886,0.610,270
LED16,Top,2.972,0.610,270
LED17,Top,4.602,0.610,270
LED18,Top,4.421,0.610,270
LED19,Top,4.240,0.610,270
LED20,Top,4.059,0.610,270
LED21,Top,3.878,0.610,270
LED22,Top,3.697,0.610,270
LED23,Top,3.516,0.610,270
LED24,Top,3.335,0.610,270
LED25,Top,2.791,0.610,270
LED26,Top,2.610,0.610,270
LED27,Top,2.429,0.610,270
LED28,Top,2.248,0.610,270
LED29,Top,2.067,0.610,270
U$1,Bottom,2.362,1.950,270
U$2,Top,4.433,2.138,0
U$4,Top,1.693,2.740,0
U$5,Top,1.693,2.654,0
U$6,Top,1.693,2.567,0
U$7,Top,1.693,2.480,0
U$8,Top,1.693,2.394,0
U$10,Top,4.233,1.309,270
U$11,Top,4.135,1.309,270
U$12,Top,4.331,1.309,270
U$13,Top,3.154,0.677,0
U$14,Top,1.693,2.307,0
U$15,Top,1.693,2.220,0
U$16,Top,4.252,2.929,270
U$17,Top,4.094,2.929,270
U$18,Top,3.937,2.929,270
U$20,Top,3.780,2.929,270
U$21,Top,3.622,2.929,270
U$22,Top,1.886,0.677,0
U$23,Top,2.972,0.677,0
U$24,Top,4.431,1.969,90
U$25,Top,4.602,0.673,0
U$26,Top,4.421,0.677,0
U$27,Top,4.240,0.677,0
U$28,Top,4.059,0.677,0
U$29,Top,3.878,0.677,0
U$30,Top,3.697,0.677,0
U$31,Top,3.516,0.677,0
U$32,Top,3.335,0.677,0
U$33,Top,2.791,0.677,0
U$34,Top,2.610,0.677,0
U$35,Top,2.429,0.677,0
U$36,Top,2.248,0.677,0
U$37,Top,2.067,0.677,0
U$38,Top,4.602,0.839,90
U$39,Top,4.421,0.839,90
U$40,Top,4.240,0.839,90
U$41,Top,4.059,0.839,90
U$42,Top,3.878,0.839,90
U$43,Top,3.516,0.839,90
U$44,Top,3.154,0.839,90
U$45,Top,1.882,0.839,90
U$46,Top,2.067,0.839,90
U$47,Top,2.248,0.839,90
U$48,Top,2.429,0.839,90
U$49,Top,2.610,0.839,90
U$50,Top,2.791,0.839,90
U$51,Top,2.972,0.839,90
U$52,Top,3.335,0.839,90
U$53,Top,3.697,0.839,90
U$54,Top,4.325,2.748,90
U$55,Top,4.146,2.748,90
U$56,Top,3.967,2.748,90
U$57,Top,3.787,2.748,90
U$58,Top,3.608,2.748,90
U$59,Top,1.906,3.045,180
U$60,Top,1.906,2.896,180
U$61,Top,1.906,2.746,180
U$62,Top,1.906,2.596,180
U$63,Top,1.906,2.447,180
U$64,Top,1.906,2.297,180
U$65,Top,1.906,2.146,180
X1,Top,4.907,2.618,90
